Song,Artist,Album,Cover,Duration,Bitrate,Popularity,MV Link,Paid,Release Date
Change,泫雅 / 龙俊亨,Change,http://p2.music.126.net/zfrOVQfXIC1D2dIptB2KBQ==/728976209219353.jpg,3:31,1054 kbps,100,https://music.163.com/mv?id=34050,是,2010-01-04
소원을 말해봐 (Genie),少女时代,'소원을 말해봐 (Genie)' The Second Mini Album,http://p1.music.126.net/z4FxC7c4PKNirBLDTVn0sA==/2262794929984969.jpg,3:50,1060 kbps,95,https://music.163.com/mv?id=34059,是,2009-06-26
Oh!,少女时代,THE BEST ~New Edition~,http://p2.music.126.net/yPpy4WcbVcyb70rmRnUCqg==/2529976256578329.jpg,3:10,1092 kbps,95,https://music.163.com/mv?id=221,否,2014-10-15
Never Say Good Bye,Mario / NasTy,华纳新声 Vol.1,http://p2.music.126.net/rNl2s8oAGsaTP-y70GKzWQ==/36283883733418.jpg,3:59,981 kbps,100,,是,2007-11-01
死一样的痛过（XIKINIE BOOTLEG）,XIKINIE,死一样的痛过,http://p2.music.126.net/OxSV16SdPxuBLxSuA-rm6w==/109951168492797397.jpg,3:38,1766 kbps,100,,是,2020-12-29
하루도,Rain,Vol. 4 Rain's World,http://p1.music.126.net/bPH4ttG4tznUcR090cnVtg==/1806497604455951.jpg,4:12,925 kbps,100,,是,2006-10-13
Booty Music,Deep Side,Git Fresh,http://p2.music.126.net/dUSiZ5ASRpWgaq9OTMtoDw==/860917604602698.jpg,3:01,820 kbps,100,,是,2008-01-01
Skin to Skin,Monica Karina / Dipha Barus,Skin to Skin,http://p1.music.126.net/i16ggu8nOJmbxyWdK7qatg==/109951164422442663.jpg,3:28,908 kbps,100,,是,2018-08-31
Right Now (Na Na Na),Akon,Right Now (Na Na Na),http://p2.music.126.net/bsA7MQRJhRe_tQs38knaQA==/109951166176187930.jpg,4:04,1697 kbps,100,https://music.163.com/mv?id=311004,是,2008-01-01
happy,Skinnyfabs,happy,http://p1.music.126.net/UlM4A0GSsBOY0eV2n936Zw==/109951167599738947.jpg,2:53,797 kbps,90,,是,2019-07-05
Number 1,BIGBANG,Number 1,http://p1.music.126.net/kZxdNYSzIQfPOUzxIHlwrg==/759762534815209.jpg,3:19,1054 kbps,90,https://music.163.com/mv?id=14540743,否,2008-10-22
BAD BOY,BIGBANG,ALIVE,http://p1.music.126.net/DACbuAsZkYFpDFJGhGXTsQ==/5649290743585546.jpg,3:56,923 kbps,100,https://music.163.com/mv?id=5186,是,2012-02-29
声をきかせて,BIGBANG,声をきかせて,http://p2.music.126.net/V8-8t0CDrdObHsebA8x_5w==/777354720841599.jpg,4:16,1029 kbps,95,https://music.163.com/mv?id=14540057,否,2009-11-04
Baby Baby,BIGBANG,With U,http://p1.music.126.net/tzVG-_f6NDM7xWm8aExNGQ==/562949953442988.jpg,3:53,1131 kbps,100,,否,2008-05-28
Stupid Liar,BIGBANG,빅뱅 스페셜에디션,http://p1.music.126.net/1xUhpraeq_uj75sawYXs2g==/109951167720319187.jpg,3:54,1010 kbps,100,,是,2011-04-08
波よせて,クラムボン,clammbon - columbia best,http://p1.music.126.net/1WTa2qvy3g6fc-RoXc0hkA==/109951168943992522.jpg,5:09,803 kbps,90,,是,2011-04-20
Insomnia (불면증),辉星,insomnia (불면증),http://p1.music.126.net/od4qg9xFEMyMZZS0qjKl_Q==/109951170461867736.jpg,3:26,1041 kbps,100,,是,2009-02-18
Aim High,Agent 51,The Red & The Black,http://p1.music.126.net/eGUKiuZAen2N2hLahPzt-A==/109951163436303582.jpg,2:45,1074 kbps,90,,是,2003-05-06
That's Not My Name,The Ting Tings,That's Not My Name,http://p1.music.126.net/7hXfItFWZu1tvkJqVUHgbA==/6633353651055566.jpg,5:11,958 kbps,100,https://music.163.com/mv?id=504771,是,2008-05-08
Never Say Good Bye,마리오앤드,마이걸 (SBS 수목드라마),http://p1.music.126.net/oilu0u6oiOvZCeawfIFyiQ==/109951169928011956.jpg,3:58,983 kbps,100,https://music.163.com/mv?id=5307883,是,2005-12-23
Whiskey in the Jar,Metallica,Garage Inc.,http://p1.music.126.net/6I1Eeip1KRhNwEbgLWnJ2A==/109951166035989991.jpg,5:04,1120 kbps,95,https://music.163.com/mv?id=14224586,是,1998-01-01
Starbucks,A,Hi-Fi Serious,http://p2.music.126.net/X0e1W-8nvB_aReKEzfa5Fw==/18358545649778036.jpg,3:18,1088 kbps,100,,是,2002-07-02
"한결, 은찬 Dialogue (의형제 맺기로 한 은찬과 한결)",尹恩惠 / 孔刘,`커피향 설레임` 커피프린스 1호점 Sound Track,http://p1.music.126.net/x6K508dY_R5PeQ6j0dvCXA==/2301277836961249.jpg,1:10,762 kbps,10,,否,2007-09-13
로맨스,尹恩惠 / 尹尚贤,아가씨를 부탁해 (KBS 수목드라마) - 1.5,http://p2.music.126.net/c-c3hRIGFqpB5nbMnmWrzg==/109951168702584633.jpg,3:50,834 kbps,25,,是,2009-09-09
Dash Girl,尹恩惠,아가씨를 부탁해 OST,http://p1.music.126.net/WWcCk7nVie9Xd-YAi3eSfQ==/109951168698937122.jpg,3:25,1763 kbps,25,,是,2009-08-19
Tik Tok,2PM / 尹恩惠,Tik Tok,http://p1.music.126.net/I6rUQOZ5UQf6UWjKAicNng==/6661940952815326.jpg,4:09,966 kbps,100,https://music.163.com/mv?id=5441691,是,2010-01-12
Straight Through My Heart (Main Version),Backstreet Boys,The Essential Backstreet Boys,http://p1.music.126.net/FoTPfQ2HwHpQQDEbblde5w==/109951163528171423.jpg,3:27,1030 kbps,30,https://music.163.com/mv?id=14458944,是,2013-10-22
"""The Take Over, The Breaks Over""",Fall Out Boy,Infinity On High,http://p2.music.126.net/lvXsnM_bDYvfNO0Pt7ztPQ==/109951169887929959.jpg,3:33,1075 kbps,55,https://music.163.com/mv?id=14499752,是,2007-02-06
TiK ToK,Kesha,Animal (Expanded Edition),http://p1.music.126.net/33wyvZF_QTGCSeR7NlfSnw==/109951170629148131.jpg,3:19,1034 kbps,100,https://music.163.com/mv?id=14407988,是,2010-01-01
CALL ME BABY,EXO,The 2nd Album 'EXODUS',http://p2.music.126.net/yruNMBblW5uDqj3FjNNi2A==/7915384208954478.jpg,3:31,1109 kbps,100,https://music.163.com/mv?id=392243,是,2015-03-30
헤어지고 난 후 (Go away),Teen Top,SEOUL NIGHT,http://p2.music.126.net/EdcD_dtH30CbFwV85zTQ6w==/109951169727968220.jpg,3:14,943 kbps,95,,是,2018-05-08
긴 생머리 그녀 (Miss Right),Teen Top,No.1,http://p1.music.126.net/BO_ckpesp9xaTvu0gAcLAA==/2367248534626858.jpg,3:17,1108 kbps,95,https://music.163.com/mv?id=10798467,是,2013-02-25
The New Diana,Black Box Recorder,Passionoia,http://p1.music.126.net/ZJAlnNYzaKf0-AxKumxNUQ==/109951169392567099.jpg,2:49,950 kbps,95,,是,2003-05-03
Know Me Too Well,New Hope Club / Danna Paola,Know Me Too Well,http://p1.music.126.net/lw1JCCTpTW833zXBuCpi-g==/109951164406312179.jpg,3:20,957 kbps,90,https://music.163.com/mv?id=10895864,是,2019-10-04
"나의 모든 이들에게,",Mingginyu,"나의 모든 이들에게,",http://p2.music.126.net/PiEAxKUepURnClzm4mIM5Q==/109951168827822683.jpg,2:41,854 kbps,95,,是,2022-12-28
Fly By II,Blue,Best Of Blue,http://p1.music.126.net/2xOGKAoaK14aGstw3tGJ4Q==/109951169371410113.jpg,3:50,945 kbps,100,https://music.163.com/mv?id=29509,是,2004-01-01
I Love You So,The Walters,I Love You So,http://p2.music.126.net/tdVjGGLeF9dnTPDySyLWXw==/109951167013803499.jpg,2:40,841 kbps,100,https://music.163.com/mv?id=14456604,是,2014-11-28
Married Man,Paulini,Superwoman,http://p1.music.126.net/pl7dFCB_LHSg0zqSUd8W0w==/109951165963142119.jpg,3:32,1699 kbps,95,,是,2006-08-05
Golden City,Will Armex,Golden City,http://p1.music.126.net/yb6ED9pevaSM99N9HPg5LQ==/109951167998730077.jpg,2:36,962 kbps,95,,是,2022-10-28
Freedom Fighter,#1 Dads,Golden Repair,http://p1.music.126.net/lg9kDCnkQ5Tc4QOLNfxeOw==/109951165518131476.jpg,4:30,985 kbps,100,,否,2020-03-06
Second Date feat. Wade & Tyler Alexis,The Hauser Project / Wade / Tyler Alexis,IN YA MELLOW TONE 12,http://p1.music.126.net/WBwUIGpKEoT5Zeq3CsEZmQ==/109951168475816091.jpg,3:27,969 kbps,90,,是,2016-05-20
Hold Me ¹ ⁹ ⁸ ⁷,水仙LONE,¹ ⁹ ⁸ ⁷,http://p2.music.126.net/M-MvvNAZ_NJvrIXYFf7QAg==/109951164781901898.jpg,2:45,2116 kbps,95,,是,未知日期
Down For Life,Part Six,What's That Sound,http://p1.music.126.net/ETkxIusKImKTNUrOurdgFw==/109951168714994677.jpg,3:36,1049 kbps,95,,是,2007-01-01
All My Ex's Live in Texas,Whitey Shafer,Grand Theft Auto: San Andreas [Box Set],http://p2.music.126.net/L4ONpDcpDe9KFm1tq6368Q==/109951165892044070.jpg,3:19,1584 kbps,70,,否,2004-10-26
桜が降る夜は,あいみょん,桜が降る夜は,http://p1.music.126.net/2g0Em8ZrsQ7ZLZfQ-JCYNA==/109951165728412542.jpg,4:34,939 kbps,80,https://music.163.com/mv?id=14262220,是,2021-02-17
벚꽃내리는 밤,이병구 / 권혁,오카리나 듀엣 바람이 불어요,http://p2.music.126.net/Re6j2xRpSIZMXY0x8I4FLQ==/109951168744368612.jpg,3:58,623 kbps,5,,是,2014-05-08
C级浪漫,法老 / 邓典果DDG / KnowKnow,C级浪漫,http://p2.music.126.net/QzqdDWX7IFWGqTUaQTJOEw==/109951168722216453.jpg,3:21,987 kbps,100,,是,2023-07-08
会魔法的老人,法老 / KKECHO,健将mixtape,http://p2.music.126.net/WEOaWIg8WAG_kBhmAx7zbA==/109951168688783089.jpg,2:50,760 kbps,100,,是,未知日期
Training Season (Extended),Dua Lipa,Training Season,http://p1.music.126.net/KGnEbU8k5ujkWn3JSFA6BQ==/109951169338596465.jpg,4:55,1691 kbps,95,,是,2024-02-15
Follow You (Summer ’21 Version),Imagine Dragons,Follow You (Summer ’21 Version),http://p1.music.126.net/UR7KmowCIzsLPtByrNFTPw==/109951166055186431.jpg,2:52,995 kbps,90,,是,2021-06-04
Walk Out feat. Michael Kaneko,西原健一郎 / Michael Kaneko,Elastic Afterwords,http://p2.music.126.net/-y4qFOU2KEBqKi3cTvu0uQ==/109951163681714786.jpg,5:09,873 kbps,85,https://music.163.com/mv?id=10892115,是,2018-11-22
embers,西原健一郎,Sincerely...,http://p1.music.126.net/3Das9R-Uf8yrMxr843DUwA==/18530069464612689.jpg,4:05,1064 kbps,95,,是,2016-12-14
all these years,Shing02 / 西原健一郎,Sincerely...,http://p2.music.126.net/3Das9R-Uf8yrMxr843DUwA==/18530069464612689.jpg,3:50,1022 kbps,95,https://music.163.com/mv?id=5810686,是,2016-12-14
our love,西原健一郎 / Mabanua,Sincerely...,http://p2.music.126.net/3Das9R-Uf8yrMxr843DUwA==/18530069464612689.jpg,4:56,961 kbps,100,,是,2016-12-14
Va va vis,Florina,Va va vis,http://p1.music.126.net/LpbwWgdlQJV_Eo3DpaL_sQ==/109951166368672519.jpg,3:46,1013 kbps,95,https://music.163.com/mv?id=10785690,是,2018-05-25
Lion - Acoustic,Hearts & Colors,Lion - Acoustic,http://p1.music.126.net/PRl79ywIx2lcn5FXqxKI4w==/109951165423963710.jpg,2:47,1621 kbps,100,,是,2019-04-22
What's wrong?,Miyauchi,Flowershop Freestyle,http://p1.music.126.net/1ke8JFFZODFVyskDeR5RbQ==/109951168526459667.jpg,2:59,851 kbps,100,,是,2023-04-06
Lunagirl,Lunaman,Lunagirl,http://p2.music.126.net/11mNvI8v2X3HjHITBjyzlQ==/109951169332062272.jpg,3:40,944 kbps,100,,是,2006-10-02
Shouldn't Have to Be Like That,Fra Lippo Lippi,Songs,http://p1.music.126.net/HZ8CzJpeqXU2-xfnfvy04g==/2946691182021888.jpg,3:53,900 kbps,95,https://music.163.com/mv?id=5564101,是,1986-01-01
How I Learned To Love The Bomb,Glass Animals,I Love You So F***ing Much,http://p2.music.126.net/mrT-yQR8mh2Il-Xcfo5ehw==/109951169796193632.jpg,4:09,942 kbps,95,,是,2024-07-19
SOS (ENG Version),FIFTY FIFTY,Love Tune,http://p2.music.126.net/NGrnb9lp2T9mKws28NaK7Q==/109951169928941002.jpg,3:07,1677 kbps,100,,是,2024-09-20
For Cryin' Out Loud!,FINNEAS,For Cryin' Out Loud!,http://p1.music.126.net/KnGSuouYF5-ctpCSrR-VpA==/109951170014537261.jpg,3:37,882 kbps,95,,是,2024-10-04
Sick Lullaby,Olivia Addams,Sick Lullaby,http://p1.music.126.net/NSRZ44hChSvklu08Wy8erA==/109951168112230422.jpg,3:23,1415 kbps,100,,是,2019-12-06
失夜1999,安全着陆 / 大笑,安全着陆,http://p2.music.126.net/r832d0-lunwobYB9mnw6xA==/109951162846810441.jpg,3:49,880 kbps,100,,是,2016-12-21
需要保密的情话,安全着陆 / DaisyCream,安全着陆,http://p2.music.126.net/r832d0-lunwobYB9mnw6xA==/109951162846810441.jpg,3:20,845 kbps,100,,是,2016-12-21
安全着陆,安全着陆 / Canibus / Kool G Rap,安全着陆,http://p2.music.126.net/r832d0-lunwobYB9mnw6xA==/109951162846810441.jpg,4:09,946 kbps,90,,是,2016-12-21
宫城良田,安全着陆,安全自救手册,http://p1.music.126.net/3vDnTekK6qDUrfC7XY6M7w==/109951163426169966.jpg,3:29,890 kbps,90,,是,2018-07-27
个人简介 Pt.2,安全着陆,REcognize,http://p1.music.126.net/OY7mK_SKSkTjrVVALXjyUg==/109951163549082776.jpg,2:27,937 kbps,100,,是,2018-09-14
誓い ～The love turns into the Oath,小寺可南子,イース -フェルガナの誓い- jdkスペシャル,http://p2.music.126.net/xals7-de2Hs4y04zbZ6CyA==/109951169885422144.jpg,5:08,866 kbps,10,,是,2010-04-22
I LOVE YOU,高橋優,僕らの平成ロックンロール②,http://p1.music.126.net/hojsMBkTCE0lgR2CFA-2uQ==/109951166904887339.jpg,5:14,915 kbps,75,,是,2012-12-26
Feel It Still,Pentatonix,"PTX Presents: Top Pop, Vol. I",http://p1.music.126.net/NEljQ9m26PuEoI4q6H9p7w==/109951165984007261.jpg,3:00,928 kbps,100,,是,2018-04-13
simple times,Kacey Musgraves,star-crossed,http://p2.music.126.net/dgT6zsYJyG19RAT7rwdvUQ==/109951166370642737.jpg,2:47,970 kbps,100,https://music.163.com/mv?id=14315692,是,2021-09-10
Girl,76th Street,WILD,http://p1.music.126.net/bRYWh5ukCjUoW3cUnPOgFg==/109951169666230836.jpg,2:54,955 kbps,100,,是,2024-06-21
Wolves,Big Sean / Post Malone,Detroit 2,http://p1.music.126.net/sRoIZlykS0Z3cMkIUzU1Og==/109951165293316341.jpg,3:19,907 kbps,95,https://music.163.com/mv?id=10972533,是,2020-09-04
Wow.,Post Malone,Wow.,http://p2.music.126.net/W84GL1LC31-2KxzMEi6Y6w==/109951169872999139.jpg,2:29,810 kbps,85,https://music.163.com/mv?id=10859324,是,2018-12-24
Hood Rich,Lil Tjay,Destined 2 Win,http://p2.music.126.net/OBG_DnZXORPSO-nvWianTw==/109951165867333810.jpg,3:09,1561 kbps,90,https://music.163.com/mv?id=14470019,是,2021-04-05
Mood (Remix),24kGoldn / Justin Bieber / J. Balvin / iann dior,Mood (Remix),http://p1.music.126.net/RXlFOPcifGZgWiyxgzwsPA==/109951165438646607.jpg,3:12,1549 kbps,100,https://music.163.com/mv?id=10968596,是,2020-11-06
Zood,bbblckck,Zood,http://p1.music.126.net/74I3HIzHuuGZHjYpoD5pRg==/109951168813662740.jpg,3:21,766 kbps,95,,是,2022-09-19
Ain't Got No Reason,Dojo Cuts,Ain't Got No Reason,http://p2.music.126.net/v5ypJmdrWHpKXXmq1gifkg==/109951164914623391.jpg,2:24,1624 kbps,100,,是,2020-05-01
A-O-K,Tai Verdes,A-O-K,http://p2.music.126.net/mzKRpdkE0jQ9azWfjUkmJQ==/109951168298651497.jpg,2:53,1662 kbps,100,https://music.163.com/mv?id=14494858,是,2021-05-06
The Other Side Of Paradise,Glass Animals,How To Be A Human Being,http://p1.music.126.net/H2NXMKs6JryHDeZsIS7hnw==/109951168501983706.jpg,5:20,937 kbps,100,https://music.163.com/mv?id=22724879,是,2016-08-26
Scars,JC Stewart,Scars,http://p2.music.126.net/5TnJ8S0tzBvj-2SVgLSx_A==/109951167479708376.jpg,3:18,1018 kbps,95,https://music.163.com/mv?id=14534424,是,2022-05-27
Give Me A Sign,Bryant Barnes,VANITY,http://p2.music.126.net/u2LEm2PvrP5_sTtzgdV5Lw==/109951169818669299.jpg,2:40,810 kbps,95,,是,2024-07-26
Hand Me Down,MyKey,Hand Me Down,http://p1.music.126.net/8ZY6Mja3xkI7L5iJGyAIHQ==/109951165141302025.jpg,2:18,1617 kbps,95,,是,2020-07-17
Petals,MADILYN,Hollywood Dead,http://p1.music.126.net/NuIxKyOZCBcJjT-wmz-lUw==/109951168863763095.jpg,3:19,972 kbps,100,,是,未知日期
Somebody New,Matt Wertz,While We're Becoming,http://p1.music.126.net/mvXkZjW5pJIzf8BXzrG1OA==/916992697616952.jpg,4:47,785 kbps,90,,否,2010-03-02
No One But You,Doug Paisley,Constant Companion,http://p2.music.126.net/pDH2vI_behK6Y-N9LcjKHg==/109951167584487634.jpg,3:11,816 kbps,95,,是,2010-10-12
No Other Way,Shaed,No Other Way,http://p1.music.126.net/W-GnJvYYemPyZ6PVxsm0nQ==/109951165393037044.jpg,2:27,1004 kbps,100,https://music.163.com/mv?id=22752454,是,2020-10-16
No Worries,Pogo,Kindred Shadow,http://p1.music.126.net/EuwmJEgIjzNhSvNTaVGXHg==/109951164852550487.jpg,3:28,918 kbps,100,,是,2015-06-11
LEFT RIGHT REMIXX (FEAT. CIARA & JACKSON WANG // PROD BY JAKOPS),XG / Ciara / 王嘉尔,LEFT RIGHT REMIXX (FEAT. CIARA & JACKSON WANG // PROD BY JAKOPS),http://p2.music.126.net/D41_kaO89MU_lEFPzz-yLg==/109951168573649492.jpg,4:31,983 kbps,100,,是,2023-05-05
Why Why Why,王嘉尔,Why Why Why,http://p2.music.126.net/YFG07T_6gNbL-A_KyuZ40w==/109951168205131371.jpg,2:39,1572 kbps,100,,是,2022-12-31
Can't Breathe,Eddie Supa / 王嘉尔 / Stan Sono,VIBE Presents Urban Asia Vol 1,http://p2.music.126.net/mVSy3JJfzrl-5cXSBZyyrw==/109951163280187392.jpg,3:35,912 kbps,95,,是,2018-05-09
出现又离开 (Live),梁博,我是唱作人 第2期,http://p1.music.126.net/mAV2OH6nPJd4XLwn80kwpA==/109951164054054313.jpg,6:43,866 kbps,100,,是,未知日期
Showed Me (How I Fell In Love With You),Madison Beer,Showed Me (How I Fell In Love With You),http://p1.music.126.net/Mwf_GHqilEK0RKPTFqcCoA==/109951167961341940.jpg,3:15,1540 kbps,95,https://music.163.com/mv?id=14570847,是,2022-10-13
别再问我什么是迪斯科,张蔷,别再问我什么是迪斯科,http://p2.music.126.net/d5_S4423ffTNCBFJL-ziHA==/5864795022576838.jpg,3:37,1658 kbps,100,https://music.163.com/mv?id=5678934,是,2013-12-27
DEAR JOHN,比莉,傻瓜就是我,http://p1.music.126.net/mZLUzr-LZKq4xBFtZEHL6w==/109951166264539977.jpg,5:11,967 kbps,100,,是,1999-01-01
Hel,呼斯勒,Hel.,http://p1.music.126.net/BpI8jO7ZecJQnUL1lOgBgg==/109951168819563897.jpg,2:11,809 kbps,100,,是,未知日期
星月,童安格,我曾经爱过,http://p1.music.126.net/Xp5i3ANbHz6KL2hwQ1SxDw==/109951169875253806.jpg,3:12,775 kbps,40,https://music.163.com/mv?id=468160,是,1986-08-13
Some Summertime,Olsson / GRANT,Some Summertime,http://p1.music.126.net/vVSezOUngw4P5anQzSsLAg==/109951163975729579.jpg,3:33,925 kbps,100,,否,2019-04-05
All Over Love,LOVE PSYCHEDELICO,This is LOVE PSYCHEDELICO,http://p1.music.126.net/9OxwWBWLhJSSs1aTTbHmNw==/18875316114229445.jpg,5:02,962 kbps,95,,否,2008-05-20
ok time,corner club,ok time,http://p1.music.126.net/roHx890j6BEcV2uIEp80wQ==/109951167386214120.jpg,2:26,1585 kbps,100,https://music.163.com/mv?id=14356358,是,2021-09-10
Rich People Dreaming,Siine / Superintendent McCupcakes,Rich People Dreaming,http://p2.music.126.net/Pir4eCyXbgV3avJGex5lHQ==/109951169482256110.jpg,2:57,1621 kbps,95,,是,2024-04-26
till the wheels fall off,home alone.,In Too Deep.,http://p1.music.126.net/-5oean1nf5vigABOYX2z-g==/109951169897413783.jpg,2:48,532 kbps,100,,是,2024-08-21
Me Time,Carneyval / Lourdiz,Me Time,http://p2.music.126.net/oPBE6C5vRtfcLR1fKOoOHA==/109951168050085446.jpg,2:25,915 kbps,100,https://music.163.com/mv?id=14584637,是,2022-11-11
Puppy,Charlotte Cardin,99 Nights,http://p2.music.126.net/BMGKMRTGJzwmkvyt39h3aw==/109951168862781931.jpg,3:55,998 kbps,100,,是,2023-08-25
迷途之中,李上安,慢,http://p2.music.126.net/_XrcPAzO50NZoMpk8FSEPw==/109951163385682767.jpg,3:43,839 kbps,100,,是,2018-08-21
Handful of Water,Sofía Valdés,Handful of Water,http://p1.music.126.net/woKoAPFQ5Fz-D7XZLelGDQ==/109951165389082605.jpg,2:31,1570 kbps,95,,是,2020-10-16
No Glamour in the Hammer,Whitehorse,The Fate of the World Depends on This Kiss,http://p1.music.126.net/-G-51QRxasRgVFqxVOm6Lw==/109951163413244153.jpg,3:05,884 kbps,95,,是,2012-08-28
その声消えないよ,fumika / Sunya,POP SISTER,http://p2.music.126.net/sfU4B9W1bLDGdndO_k_1OA==/109951166200884660.jpg,4:52,1771 kbps,90,https://music.163.com/mv?id=14417857,是,2013-02-06
Chasing Pavements,Adele,Chasing Pavements,http://p1.music.126.net/Bb1iwz9qsACW7t7IYgCe7Q==/109951167841994941.jpg,3:31,937 kbps,100,https://music.163.com/mv?id=334245,是,2008-01-20
Silence Between Songs,Madison Beer,Silence Between Songs,http://p1.music.126.net/WPRkPL6_CJrZiSNwU-wgkQ==/109951168977534996.jpg,2:29,1591 kbps,95,https://music.163.com/mv?id=14662676,是,2023-09-15
Straight A's,Connor Price,Straight A's,http://p2.music.126.net/dErmO6LfISiBOVRKLCMKxQ==/109951167853769555.jpg,2:11,886 kbps,100,,是,2022-09-09
Riddle,Citycreed,Riddle,http://p1.music.126.net/ZAp0CXiYIDPUtO_kK7-lQw==/109951165108816978.jpg,2:52,901 kbps,100,,是,2020-08-10
RAW,Victoria Justice,RAW,http://p1.music.126.net/2z5xu6GdAftm1SdIzOIO3w==/109951169428826272.jpg,2:34,996 kbps,100,,是,2024-04-19
Son of a Bitch,Jessie Murph,Son of a Bitch,http://p1.music.126.net/aEuCqD3qMriwa9drtqJ9fA==/109951169344326218.jpg,2:35,849 kbps,100,https://music.163.com/mv?id=14696782,是,2024-02-22
The Clouds in Camarillo,Brazzaville,21st Century Girl,http://p2.music.126.net/55LYqmFzYes23Ut0Jkx-CQ==/109951164271743540.jpg,3:23,926 kbps,100,https://music.163.com/mv?id=5443812,是,2008-01-01
When I Get Old,Christopher / 金请夏,When I Get Old,http://p2.music.126.net/gz5pCf5ZLa55PLwar5Ag9Q==/109951167974924876.jpg,3:04,1681 kbps,100,https://music.163.com/mv?id=14573234,是,2022-10-20
思念是一种病,张震岳 / 蔡健雅,OK,http://p2.music.126.net/N61oLy0iLfEkZTHD2j87iA==/18693896697392706.jpg,4:19,895 kbps,100,https://music.163.com/mv?id=10930371,是,2007-07-01
I Love You Baby,Paul Anka,Songs I Love to Sing - The Very Best of Paul Anka,http://p2.music.126.net/p9qyhdZ6gWSUEWd5qXbS5A==/109951164513860613.jpg,3:46,1411 kbps,100,,是,2019-07-24
Chemtrails Over The Country Club,Lana Del Rey,Chemtrails Over The Country Club,http://p2.music.126.net/ZE6EF-HZnZidsudqgLeSrA==/109951166161949761.jpg,4:31,807 kbps,100,,是,2021-03-19
Thunder / Young Dumb & Broke (Medley),Imagine Dragons / Khalid,Thunder / Young Dumb & Broke (Medley),http://p1.music.126.net/LtReSNYA4lCsONMOzewjww==/18855524904843905.jpg,4:11,929 kbps,100,,是,2017-12-20
nuits d'été,Oscar Anton / Clementine,Home of Sanity (the playlist),http://p2.music.126.net/IML-kC07ANocJ9gFphiGUA==/109951165838840124.jpg,3:28,1510 kbps,100,https://music.163.com/mv?id=14427464,是,2021-03-26
Growing Pains,Nathan Trent,Growing Pains,http://p1.music.126.net/VBuLmZQvCl025M_OVmWyFQ==/109951166144069424.jpg,2:54,1634 kbps,100,https://music.163.com/mv?id=14483592,是,2021-09-03
The Bird Song (with Em Beihold),Noah Floersch / Em Beihold,The Bird Song (with Em Beihold),http://p1.music.126.net/EnX5P2TQ7h06ZblTrD1Z_A==/109951170170854497.jpg,3:53,1014 kbps,100,,是,2024-12-13
Heartbreak Hotel,Sophia Ayana,Heartbreak Hotel,http://p2.music.126.net/P9YiHFZvmx1FNYLARRHV9w==/109951163374487095.jpg,3:38,839 kbps,100,,是,2018-06-08
PLASTIC,sakehands / LO / marty valentine,PLASTIC,http://p2.music.126.net/gUrFk4hacLwgr4jMq7mmhQ==/109951164685643609.jpg,3:26,888 kbps,100,,是,2018-09-07
